STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
146,TCB,5.0,5,SEAV,25305,5
147,TCB,5.0,3,SEAV,25303,3
148,VNTT,3.0,0,ABBK,25300,0
149,VCCB,3.0,5,MB,25305,5
150,VCCB,3.0,5,VIB,25305,5
151,MSB,3.0,95,VCCB,25395,95
152,VCCB,3.0,3,BIDV,25303,3
153,SABH,3.0,95,VCCB,25395,95
154,VCCB,3.0,0,MB,25300,0
155,VCCB,3.0,0,BIDV,25300,0
156,VCCB,3.0,0,OCB,25300,0
157,SABH,3.0,92,VCCB,25392,92
158,VCCB,3.0,0,ICBV,25300,0
159,SABH,3.0,95,VCCB,25395,95
160,ICBV,3.0,96,VCCB,25396,96
161,SABH,3.0,96,VCCB,25396,96
162,VCCB,2.0,0,Fubon,25300,0
163,VIB,2.0,96,OCB,25396,96
164,TCB,2.0,93,MSB,25393,93
165,MSB,3.0,95,MB,25395,95
166,SHB,5.0,94,VIB,25394,94
167,MB,2.0,96,Fubon,25396,96
168,ACB,2.0,0,MB,25300,0
169,HDB,2.0,96,ACB,25396,96
170,ACB,2.0,0,BIDV,25300,0
171,ACB,2.0,98,VIB,25398,98
172,SABH,2.0,95,MB,25395,95
173,SABH,2.0,95,MB,25395,95
174,ICBV,1.0,96,Fubon,25396,96
175,Fubon,1.0,0,VPB,25300,0
176,Fubon,1.0,0,MB,25300,0
177,SABH,3.0,0,BIDV,25300,0
178,SABH,3.0,0,MB,25300,0
179,ACB,2.0,98,BVBH,25398,98
180,SHB,3.0,93,ACB,25393,93
181,SHB,3.0,91,NCB,25391,91
182,SHB,3.0,93,VCB,25393,93
183,Fubon,2.0,91,ICBV,25391,91
184,LVBT,3.0,93,BIDV,25393,93
185,SABH,1.0,91,TCB,25391,91
186,TCB,5.0,94,MB,25394,94
187,ACB,3.0,93,NCB,25393,93
188,TCB,2.0,93,Fubon,25393,93
189,ACB,2.0,93,Fubon,25393,93
190,Fubon,2.0,98,VIB,25398,98
191,ACB,2.0,95,HDB,25395,95
192,TCB,12.0,95,HDB,25395,95
193,MB,2.0,0,OCB,25300,0
194,ACB,2.0,0,OCB,25300,0
195,ABBK,2.0,0,OCB,25300,0
196,TCB,2.0,0,OCB,25300,0
197,ICBV,2.0,0,OCB,25300,0
198,OCB,2.0,8,VIB,25308,8
199,OCB,2.0,9,VBAH,25309,9
200,OCB,2.0,7,MB,25307,7
201,VCB,2.0,0,OCB,25300,0
202,OCB,2.0,8,MSB,25308,8
203,Fubon,2.0,0,OCB,25300,0
204,SEAV,2.0,5,ICBV,25305,5
205,ACB,2.0,93,BVBH,25393,93
206,TCB,5.0,95,BVBH,25395,95
207,Fubon,1.0,96,BVBH,25396,96
208,BVBH,2.0,98,MB,25398,98
209,VPB,2.0,0,BIDV,25300,0
210,VPB,2.0,99,MB,25399,99
211,VNTT,1.0,7,ACB,25307,7
212,ACB,0.5,5,Indovina,25305,5
213,SEAV,0.5,90,Indovina,25390,90
214,NCB,5.0,90,VIB,25390,90
215,MB,2.0,88,VIB,25388,88
216,MSB,1.0,89,VBAH,25389,89
217,OCB,3.5,88,TCB,25388,88
218,BIDV,2.0,81,MB,25381,81
219,MB,10.0,85,NCB,25385,85
220,MB,2.0,82,VCCB,25382,82
221,MB,5.0,83,NCB,25383,83
222,MSB,2.0,80,MB,25380,80
223,MB,2.0,75,ACB,25375,75
224,SABH,2.0,75,ACB,25375,75
225,SABH,2.0,76,ACB,25376,76
226,SABH,2.0,77,ACB,25377,77
227,MB,2.0,78,ACB,25378,78
228,ACB,2.0,80,SABH,25380,80
229,ACB,2.0,80,VBAH,25380,80
230,TCB,3.0,82,SABH,25382,82
231,TCB,2.0,80,VBAH,25380,80
232,BIDV,2.0,76,TCB,25376,76
233,ACB,2.0,72,VPB,25372,72
234,MB,2.0,70,Fubon,25370,70
235,VPB,2.0,60,ACB,25360,60
236,NCB,2.0,65,ACB,25365,65
237,ICBV,2.0,60,ACB,25360,60
238,ACB,2.0,65,ICBV,25365,65
239,MSB,2.0,66,ACB,25366,66
240,ACB,3.0,70,BIDV,25370,70
241,OCB,2.0,67,ACB,25367,67
242,BIDV,2.0,75,ABBK,25375,75
243,MSB,1.0,72,Indovina,25372,72
244,NCB,2.0,75,ABBK,25375,75
245,OCB,1.0,75,BVBH,25375,75
246,TCB,3.0,77,ABBK,25377,77
247,MSB,3.0,77,VPB,25377,77
248,TCB,3.0,75,BIDV,25375,75
249,NCB,1.0,79,VBAH,25379,79
250,VIB,2.0,80,SABH,25380,80
251,ICBV,2.0,77,VIB,25377,77
252,ACB,3.0,80,SABH,25380,80
253,BIDV,1.0,82,MSB,25382,82
254,BIDV,1.0,76,VCCB,25376,76
255,NCB,1.0,80,BIDV,25380,80
256,VCCB,1.0,83,ICBV,25383,83
257,ICBV,2.0,80,VCB,25380,80
258,ACB,3.0,73,MSB,25373,73
259,TCB,2.0,72,BIDV,25372,72
260,LVBT,5.0,8,SABH,25308,8
261,VNTT,5.0,0,ICBV,25300,0
262,BIDV,5.0,10,NCB,25310,10
263,SEAV,5.0,5,ICBV,25305,5
264,MB,4.0,98,VBAH,25398,98
265,Fubon,1.0,2,MB,25302,2
266,VCB,1.0,96,Fubon,25396,96
267,ACB,1.0,96,Fubon,25396,96
268,Fubon,1.0,0,MB,25300,0
269,OCB,1.0,0,Fubon,25300,0
270,MSB,2.0,99,MB,25399,99
271,SABH,1.0,92,ACB,25392,92
272,Fubon,1.0,60,VPB,25360,60
273,TCB,2.0,63,VNTT,25363,63
274,VNTT,1.0,70,Fubon,25370,70
275,VNTT,2.0,70,MSB,25370,70
276,VNTT,2.0,69,ICBV,25369,69
277,SABH,2.0,60,VNTT,25360,60
278,SABH,2.0,60,VNTT,25360,60
279,MSB,2.0,63,VNTT,25363,63
280,ICBV,2.0,61,VNTT,25361,61
281,VNTT,2.0,65,MB,25365,65
282,SABH,1.0,66,Fubon,25366,66
283,NCB,2.0,70,MB,25370,70
284,NCB,0.5,69,VBAH,25369,69
285,SABH,1.0,66,NCB,25366,66
286,TCB,3.0,63,VNTT,25363,63
287,VCB,1.0,68,VBAH,25368,68
288,Indovina,1.0,68,VCB,25368,68
289,VCB,1.0,68,VBAH,25368,68
290,TCB,20.0,60,ABBK,25360,60
291,VPB,20.0,60,TCB,25360,60
292,ICBV,2.0,61,TCB,25361,61
293,ABBK,5.0,65,MB,25365,65
294,TCB,5.0,65,LVBT,25365,65
295,HDB,1.0,66,VBAH,25366,66
296,HDB,10.0,65,NCB,25365,65
297,VNTT,3.0,50,MB,25350,50
298,MB,3.0,55,LVBT,25355,55
299,VCB,2.0,55,NCB,25355,55
300,MB,2.0,40,VCB,25340,40
301,VCB,2.0,55,MB,25355,55
302,MB,3.0,55,ACB,25355,55
303,ACB,3.0,58,VNTT,25358,58
304,MB,3.0,55,ACB,25355,55
305,BIDV,0.5,60,VNTT,25360,60
306,VCCB,0.5,55,BIDV,25355,55
307,BIDV,0.8,58,Indovina,25358,58
308,VCCB,0.8,56,BIDV,25356,56
309,MSB,1.0,55,Fubon,25355,55
310,ABBK,2.0,52,MB,25352,52
311,MB,2.0,45,ABBK,25345,45
312,SEAV,2.0,45,ABBK,25345,45
313,TCB,5.0,45,MB,25345,45
314,ICBV,2.0,45,NCB,25345,45
315,MB,3.0,40,MSB,25340,40
316,ACB,2.0,33,SEAV,25333,33
317,MSB,2.0,27,NABV,25327,27
318,NCB,0.5,25,VPB,25325,25
319,OCB,0.5,20,NCB,25320,20
320,NCB,2.0,23,BVBH,25323,23
321,BVBH,3.0,15,SABH,25315,15
322,VNTT,3.0,15,SABH,25315,15
323,MSB,5.0,20,ABBK,25320,20
324,ABBK,5.0,19,OCB,25319,19
325,MSB,5.0,5,ABBK,25305,5
326,MSB,5.0,8,ABBK,25308,8
327,MB,5.0,10,ABBK,25310,10
328,MSB,5.0,5,SEAV,25305,5
329,MB,5.0,5,SEAV,25305,5
330,SEAV,5.0,10,OCB,25310,10
