STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
59,LVBT,2.0,93,VBAH,25393,93
60,ICBV,2.0,91,VCB,25391,91
61,Fubon,1.0,99,ABBK,25399,99
62,MSB,10.0,99,ABBK,25399,99
63,MSB,5.0,99,MB,25399,99
64,ABBK,3.0,95,SGTT,25395,95
65,NCB,2.0,0,OCB,25400,0
66,SEAV,5.0,7,VNTT,25407,7
67,SEAV,2.0,10,ACB,25410,10
68,SEAV,2.0,10,MSB,25410,10
69,SEAV,3.0,10,MB,25410,10
70,SEAV,2.0,10,ICBV,25410,10
71,SEAV,3.0,10,NABV,25410,10
72,SEAV,5.0,10,VPB,25410,10
73,SEAV,2.0,10,OCB,25410,10
74,SEAV,2.0,10,MSB,25410,10
75,SEAV,2.0,10,KLBV,25410,10
76,SEAV,2.0,10,ICBV,25410,10
77,SEAV,2.0,10,EIBV,25410,10
78,MSB,2.0,13,NCB,25413,13
79,MSB,3.0,13,ACB,25413,13
80,VIB,2.0,13,OCB,25413,13
81,VIB,2.0,15,ICBV,25415,15
82,VIB,3.0,16,MSB,25416,16
83,NABV,3.0,15,SEAV,25415,15
84,NCB,3.0,18,LVBT,25418,18
85,TPB,2.0,18,ICBV,25418,18
86,VIB,15.0,20,NABV,25420,20
87,TPB,5.0,22,ABBK,25422,22
88,TPB,2.0,22,NCB,25422,22
89,TPB,2.0,20,MB,25420,20
90,MSB,5.0,10,SGTT,25410,10
91,MSB,3.0,15,SGTT,25415,15
92,MSB,1.5,15,OCB,25415,15
93,TPB,3.0,15,SABH,25415,15
94,MSB,3.0,18,SGTT,25418,18
95,VIB,3.0,17,ICBV,25417,17
96,VIB,3.0,17,SABH,25417,17
97,PVCB,5.0,19,SHB,25419,19
98,LVBT,2.0,22,SABH,25422,22
99,MSB,2.0,25,ABBK,25425,25
100,LVBT,1.0,28,SABH,25428,28
101,SEAV,4.0,30,SABH,25430,30
102,SEAV,3.0,30,VIB,25430,30
103,SEAV,1.0,30,Fubon,25430,30
104,SEAV,3.0,30,MB,25430,30
105,TPB,2.0,33,MB,25433,33
106,VNTT,3.0,33,EIBV,25433,33
107,VNTT,3.0,33,ABBK,25433,33
108,VNTT,3.0,33,VIB,25433,33
109,VNTT,2.0,32,PVCB,25432,32
110,ABBK,3.0,30,SEAV,25430,30
111,SEAV,1.0,28,LVBT,25428,28
112,SEAV,2.0,25,NCB,25425,25
113,EIBV,5.0,25,MSB,25425,25
114,PVCB,5.0,28,SEAV,25428,28
115,KLBV,5.0,28,SEAV,25428,28
116,SEAV,2.0,24,ICBV,25424,24
117,SEAV,2.0,24,LVBT,25424,24
118,TCB,1.0,23,LVBT,25423,23
119,LVBT,3.0,22,ABBK,25422,22
120,TCB,3.0,22,LVBT,25422,22
121,ABBK,3.0,20,VIB,25420,20
122,VPB,3.0,20,VIB,25420,20
123,MSB,2.0,20,VIB,25420,20
124,TCB,5.0,20,VIB,25420,20
125,MSB,3.0,17,NCB,25417,17
126,VIB,2.0,17,MSB,25417,17
127,LVBT,3.0,20,NABV,25420,20
128,MSB,2.0,16,ICBV,25416,16
129,KLBV,5.0,15,NCB,25415,15
130,VNTT,3.0,17,MSB,25417,17
131,Fubon,0.5,16,Indovina,25416,16
132,MB,5.0,15,MSB,25415,15
133,MB,3.0,15,BIDV,25415,15
134,MB,3.0,15,MSB,25415,15
135,MB,3.0,15,NABV,25415,15
136,MB,3.0,15,VCB,25415,15
137,VIB,3.0,15,ABBK,25415,15
138,MSB,5.0,20,ABBK,25420,20
