STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
146,SABH,2.0,95,MB,25395,95
147,ICBV,1.0,96,Fubon,25396,96
148,Fubon,1.0,0,VPB,25300,0
149,Fubon,1.0,0,MB,25300,0
150,SABH,3.0,0,BIDV,25300,0
151,SABH,3.0,0,MB,25300,0
152,ACB,2.0,98,BVBH,25398,98
153,SHB,3.0,91,NCB,25391,91
154,SHB,3.0,93,VCB,25393,93
155,Fubon,2.0,91,ICBV,25391,91
156,LVBT,3.0,93,BIDV,25393,93
157,SABH,1.0,91,TCB,25391,91
158,TCB,5.0,94,MB,25394,94
159,ACB,3.0,93,NCB,25393,93
160,ACB,2.0,93,Fubon,25393,93
161,Fubon,2.0,98,VIB,25398,98
162,ACB,2.0,95,HDB,25395,95
163,TCB,12.0,95,HDB,25395,95
164,ACB,2.0,0,OCB,25300,0
165,ABBK,2.0,0,OCB,25300,0
166,ICBV,2.0,0,OCB,25300,0
167,OCB,2.0,8,VIB,25308,8
168,OCB,2.0,9,VBAH,25309,9
169,OCB,2.0,7,MB,25307,7
170,VCB,2.0,0,OCB,25300,0
171,OCB,2.0,8,MSB,25308,8
172,Fubon,2.0,0,OCB,25300,0
173,ACB,2.0,93,BVBH,25393,93
174,TCB,5.0,95,BVBH,25395,95
175,Fubon,1.0,96,BVBH,25396,96
176,BVBH,2.0,98,MB,25398,98
177,VPB,2.0,99,MB,25399,99
178,VNTT,1.0,7,ACB,25307,7
179,ACB,0.5,5,Indovina,25305,5
180,SEAV,0.5,90,Indovina,25390,90
181,NCB,5.0,90,VIB,25390,90
182,MB,2.0,88,VIB,25388,88
183,MSB,1.0,89,VBAH,25389,89
184,OCB,3.5,88,TCB,25388,88
185,BIDV,2.0,81,MB,25381,81
186,MB,2.0,82,VCCB,25382,82
187,MB,5.0,83,NCB,25383,83
188,MSB,2.0,80,MB,25380,80
189,MB,2.0,78,ACB,25378,78
190,ACB,2.0,80,SABH,25380,80
191,ACB,2.0,80,VBAH,25380,80
192,TCB,3.0,82,SABH,25382,82
193,TCB,2.0,80,VBAH,25380,80
194,BIDV,2.0,76,TCB,25376,76
195,ACB,2.0,72,VPB,25372,72
196,MB,2.0,70,Fubon,25370,70
