STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
146,MSB,5.0,96,MB,25396,96
147,MB,5.0,96,OCB,25396,96
148,ABBK,5.0,3,MB,25303,3
149,MB,2.0,0,Fubon,25300,0
150,MSB,1.0,95,Fubon,25395,95
151,TCB,2.0,93,MSB,25393,93
152,SHB,1.0,94,Fubon,25394,94
153,MB,2.0,96,Fubon,25396,96
154,VPB,5.0,98,BIDV,25398,98
155,HDB,2.0,96,ACB,25396,96
156,MB,2.0,0,ACB,25300,0
157,SABH,2.0,95,ACB,25395,95
158,ICBV,3.0,98,ACB,25398,98
159,VNTT,3.0,0,ACB,25300,0
160,ICBV,1.0,96,Fubon,25396,96
161,Fubon,1.0,10,MB,25310,10
162,ACB,3.0,99,MSB,25399,99
163,ACB,3.0,0,BIDV,25300,0
164,SHB,2.0,91,Fubon,25391,91
165,SHB,2.0,93,ICBV,25393,93
166,MSB,3.0,93,LVBT,25393,93
167,Fubon,2.0,91,ICBV,25391,91
168,KLBV,3.0,93,LVBT,25393,93
169,VPB,3.0,3,LVBT,25303,3
170,MSB,5.0,95,KLBV,25395,95
171,Fubon,3.0,5,NCB,25305,5
172,SABH,1.0,91,EABS,25391,91
173,TCB,5.0,94,VPB,25394,94
174,MSB,5.0,95,VPB,25395,95
175,BIDV,2.0,96,Fubon,25396,96
176,ACB,3.0,93,NCB,25393,93
177,TCB,3.0,98,VIB,25398,98
178,MB,2.0,0,ACB,25300,0
179,ACB,2.0,95,HDB,25395,95
180,ACB,2.0,5,BIDV,25305,5
181,ABBK,2.0,5,ACB,25305,5
182,TCB,2.0,6,OCB,25306,6
183,ABBK,2.0,5,OCB,25305,5
184,TCB,2.0,5,VCB,25305,5
185,ICBV,2.0,5,BVBH,25305,5
186,BVBH,2.0,93,ACB,25393,93
187,ACB,2.0,98,MB,25398,98
188,VPB,2.0,99,MB,25399,99
189,MSB,10.0,0,SEAV,25300,0
190,ICBV,10.0,0,SEAV,25300,0
191,BIDV,5.0,95,SEAV,25395,95
192,MB,2.0,88,NCB,25388,88
193,NCB,5.0,90,VIB,25390,90
194,MSB,5.0,88,NCB,25388,88
195,ICBV,1.0,89,VBAH,25389,89
196,OCB,2.0,3,ICBV,25303,3
197,MSB,5.0,87,TCB,25387,87
198,MSB,5.0,86,TCB,25386,86
199,MB,5.0,86,TCB,25386,86
200,MSB,1.0,80,NCB,25380,80
201,MB,5.0,83,NCB,25383,83
202,NCB,1.0,82,VCCB,25382,82
203,MB,2.0,78,ACB,25378,78
204,ACB,2.0,80,VBAH,25380,80
205,NCB,5.0,78,TCB,25378,78
206,MSB,5.0,80,TCB,25380,80
207,BIDV,5.0,76,TCB,25376,76
208,TCB,2.0,80,VBAH,25380,80
209,ACB,2.0,72,Fubon,25372,72
210,MB,2.0,70,Fubon,25370,70
211,OCB,2.0,67,ACB,25367,67
212,NCB,1.0,72,Indovina,25372,72
213,OCB,2.0,75,BVBH,25375,75
214,EABS,1.0,75,ABBK,25375,75
215,TCB,1.0,79,OCB,25379,79
216,MSB,3.0,77,BIDV,25377,77
217,TCB,3.0,10,BIDV,25310,10
218,VIB,1.0,79,VBAH,25379,79
219,ICBV,2.0,77,VIB,25377,77
220,VIB,2.0,80,SABH,25380,80
221,KLBV,2.0,80,SABH,25380,80
222,NCB,1.0,80,BIDV,25380,80
223,BIDV,1.0,76,VCCB,25376,76
224,VCCB,1.0,83,ICBV,25383,83
225,ICBV,2.0,80,VCB,25380,80
226,BIDV,2.0,70,Indovina,25370,70
227,TCB,2.0,5,BIDV,25305,5
228,MB,5.0,10,VIB,25310,10
229,LVBT,1.0,8,OCB,25308,8
230,BIDV,5.0,10,SEAV,25310,10
231,VNTT,5.0,0,ICBV,25300,0
232,SEAV,5.0,6,MSB,25306,6
233,MSB,5.0,10,SEAV,25310,10
234,LVBT,20.0,95,SABH,25395,95
235,VPB,3.0,2,ICBV,25302,2
236,SABH,1.0,98,VBAH,25398,98
237,VPB,2.0,1,MSB,25301,1
238,VPB,1.0,2,Fubon,25302,2
239,OCB,1.0,0,Fubon,25300,0
240,ICBV,3.0,99,VPB,25399,99
241,MSB,2.0,99,MB,25399,99
242,VPB,5.0,99,VIB,25399,99
243,SABH,1.0,92,ACB,25392,92
244,VCB,5.0,80,VIB,25380,80
245,Fubon,1.0,60,ACB,25360,60
246,ACB,2.0,65,MB,25365,65
247,VBAH,1.0,65,MB,25365,65
248,Fubon,1.0,65,MB,25365,65
249,Fubon,1.0,67,MSB,25367,67
250,SABH,1.0,66,Fubon,25366,66
251,SABH,1.0,66,VNTT,25366,66
252,MSB,3.0,68,VNTT,25368,68
253,TCB,3.0,63,VNTT,25363,63
254,Indovina,1.0,68,VCB,25368,68
255,VCB,1.0,68,VBAH,25368,68
256,MSB,5.0,70,VPB,25370,70
257,MSB,1.0,70,VCB,25370,70
258,ICBV,2.0,61,TCB,25361,61
259,VPB,5.0,65,MB,25365,65
260,TCB,5.0,65,LVBT,25365,65
261,ACB,5.0,67,TCB,25367,67
262,BIDV,2.0,55,MSB,25355,55
263,NCB,3.0,55,MB,25355,55
264,MB,2.0,40,VCB,25340,40
265,MB,3.0,55,ACB,25355,55
266,MSB,2.0,59,VNTT,25359,59
267,ICBV,10.0,1,Fubon,25301,1
268,MSB,10.0,60,ICBV,25360,60
269,SEAV,5.0,63,OCB,25363,63
270,NCB,2.0,50,ABBK,25350,50
271,ABBK,2.0,52,MB,25352,52
272,SEAV,2.0,45,ABBK,25345,45
273,ABBK,3.0,60,SABH,25360,60
274,VNTT,2.0,45,NCB,25345,45
275,TCB,2.0,5,NCB,25305,5
276,ICBV,3.0,45,ABBK,25345,45
277,MSB,3.0,48,ABBK,25348,48
278,MB,20.0,35,OCB,25335,35
279,MB,3.0,40,MSB,25340,40
280,KLBV,2.0,38,VPB,25338,38
281,ACB,2.0,33,KLBV,25333,33
282,MSB,2.0,27,KLBV,25327,27
283,MSB,2.0,25,KLBV,25325,25
284,VNTT,2.0,25,KLBV,25325,25
285,ICBV,2.0,23,NCB,25323,23
286,BVBH,3.0,15,SABH,25315,15
287,SEAV,1.0,20,Fubon,25320,20
288,MSB,3.0,22,VPB,25322,22
289,MSB,5.0,15,ABBK,25315,15
290,MB,5.0,10,ABBK,25310,10
291,KLBV,5.0,15,MB,25315,15
292,MSB,5.0,15,MB,25315,15
293,MSB,5.0,0,MB,25300,0
294,MB,5.0,5,SEAV,25305,5
295,SEAV,5.0,10,OCB,25310,10
296,BVBH,5.0,15,MB,25315,15
